url,old_path,new_path,old_loc,new_loc,old_block,new_block,old_disciplined,new_disciplined,old_undisciplined,new_undisciplined,commit_hash,author
https://github.com/fvwmorg/fvwm,fvwm/builtins.c,fvwm/builtins.c,2903,3041,59,59,49,47,10,12,f6cea0fdb61ffb6e0f2650f23b11f5e340653378,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/builtins.c,fvwm/builtins.c,3041,2969,59,59,47,49,12,10,d0f8f72becc7df99366560adb6c16a9ca8a49867,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/builtins.c,fvwm/builtins.c,3018,3380,59,64,49,52,10,12,087906552c42323b2a8c7756b2d72c3db9550a2d,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,modules/FvwmButtons/FvwmButtons.c,modules/FvwmButtons/FvwmButtons.c,1469,1500,51,55,51,52,0,3,2139242f2fc3b12d5ab9e60cd1d295e21ab1d0f9,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,modules/FvwmPager/FvwmPager.c,modules/FvwmPager/FvwmPager.c,1052,1077,8,8,8,6,0,2,2139242f2fc3b12d5ab9e60cd1d295e21ab1d0f9,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/menus.c,fvwm/menus.c,2050,2139,15,22,14,19,1,3,fdd7336909ba2e052658193f254ab3b0ab699255,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,modules/FvwmIconMan/FvwmIconMan.c,modules/FvwmIconMan/FvwmIconMan.c,186,204,6,5,4,5,2,0,fdd7336909ba2e052658193f254ab3b0ab699255,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/events.c,fvwm/events.c,1110,1109,7,8,7,6,0,2,9e58ccc5f11d9e0a71d0c0ad552ec9a4e979abdd,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/add_window.c,fvwm/add_window.c,840,834,26,23,24,23,2,0,bd91144db422707f3bfab4b805a54de3645451d8,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/builtins.c,fvwm/builtins.c,4009,4045,70,67,58,59,12,8,bd91144db422707f3bfab4b805a54de3645451d8,Committer [name=domivogt; email=domivogt]
https://github.com/fvwmorg/fvwm,fvwm/icons.c,fvwm/icons.c,768,790,7,11,7,9,0,2,5a5c4286f44ef961195bfecb3d47078670ce9fd6,Committer [name=clasen; email=clasen]
https://github.com/fvwmorg/fvwm,fvwm/builtins.c,fvwm/builtins.c,4226,4244,68,70,60,61,8,9,381dcbe38fba4a87d44f2653e8b5cb0738d50394,Committer [name=clasen; email=clasen]
https://github.com/fvwmorg/fvwm,fvwm/borders.c,fvwm/borders.c,1331,994,53,55,36,34,17,21,a952732c8d6bfe58eea4986b55f707510493851a,Committer [name=hippo; email=hippo]
https://github.com/fvwmorg/fvwm,fvwm/borders.c,fvwm/borders.c,964,952,55,51,34,35,21,16,28d002178df8cdfe9010bd6144304079ba1b6f40,Committer [name=hippo; email=hippo]
https://github.com/fvwmorg/fvwm,fvwm/borders.c,fvwm/borders.c,952,972,51,56,35,38,16,18,fc8f718d369a5f562b54c7e1d3465396c1f1237e,Committer [name=hippo; email=hippo]
https://github.com/fvwmorg/fvwm,fvwm/move.c,fvwm/move.c,811,0,5,0,3,0,2,0,72539c24205f4572dc6eac5e99be596c40169ba3,Committer [name=clasen; email=clasen]
https://github.com/fvwmorg/fvwm,fvwm/move.c,fvwm/move.c,0,811,0,5,0,3,0,2,0eb726d601bf3d755968089679599adce5490a89,Committer [name=clasen; email=clasen]
https://github.com/fvwmorg/fvwm,acconfig.h,acconfig.h,76,74,5,4,5,1,0,3,8029b0edea468287ec51f7401ce1656e643f9032,Committer [name=steve; email=steve]
